sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
2.0,78.0,830000.0,1.0,1.0,1.0,6.0,7.666666666666667,1.7142857142857142,1.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,65.0,984000.0,1.0,1.5,1.0,5.5,7.333333333333333,1.8571428571428572,1.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1
3.0,141.0,2020000.0,1.0,2.0,2.0,5.0,7.0,2.0,1.0,6.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,100.0,1350000.0,1.0,1.5,1.0,2.0,6.5,1.5,1.0,4.0,0,0,1,0,0,1,1,1,0,0,1,1
1.0,78.0,950000.0,1.5,1.0,1.0,3.0,6.0,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1
3.0,89.0,890000.0,2.0,1.0,2.0,4.0,8.0,1.0,1.0,4.0,0,0,0,0,0,1,0,1,0,1,1,1
1.0,61.0,649000.0,1.5,1.0,1.0,1.0,9.0,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,72.0,798000.0,1.0,1.5,1.0,1.0,6.0,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,70.625,835000.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,1,0
1.0,69.25,600000.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0
1.0,67.875,400000.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,66.5,895000.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0,0,0,0,0,1,1,1,0,0,0,1
1.0,65.125,312000.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,63.75,345000.0,1.0,1.0,1.0,4.5,7.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,62.375,600000.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,1,1,0,0
1.0,61.0,855000.0,1.0,1.0,1.0,5.333333333333333,6.8,1.0,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,122.0,842000.0,1.0,1.0,2.0,4.666666666666667,6.6,1.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,55.0,925000.0,1.0,1.0,1.0,4.0,6.4,1.0,1.0,2.0,0,0,0,0,0,1,1,1,0,0,1,1
10.0,1600.0,39000000.0,1.0,1.0,1.0,3.3333333333333335,6.2,1.0,1.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,42.0,495000.0,1.0,1.3333333333333333,1.0,2.666666666666667,6.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,1,0,1,0
2.0,62.0,661500.0,1.0,1.6666666666666665,1.0,2.0,6.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,1
4.0,170.0,2100000.0,1.0,2.0,3.0,3.0,6.0,1.0,1.0,6.0,0,0,1,0,0,1,0,1,1,0,0,1
