sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_style_enc,sl_gardien_enc
2.0,20.0,112000.0,1.0,1.0,1.0,2.0,3.0,1.0,1.736842105263158,1.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,21.0,112000.0,1.0,1.0,1.0,1.0,3.0,1.0,1.7894736842105263,1.0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,136.0,910000.0,1.0,1.0,2.0,2.333333333333333,3.6666666666666665,1.0,1.8421052631578947,5.0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,35.0,269900.0,1.0,1.0,1.0,3.6666666666666665,4.333333333333333,1.0,1.894736842105263,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,38.0,315000.0,1.0,1.0,1.0,5.0,5.0,1.0,1.9473684210526314,2.0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,132.0,839000.0,1.0,1.0,2.0,1.0,4.5,1.0,2.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,41.0,278600.0,1.0,1.0,1.0,1.0,4.0,1.0,1.8,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,52.0,150000.0,1.0,1.0,1.0,2.0,7.0,1.0,1.6,2.0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,111.0,630000.0,1.0,1.0,1.0,2.0,6.0,1.0,1.4,5.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,90.0,735000.0,1.0,1.0,1.0,2.0,6.0,1.0,1.2,3.0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,42.0,335000.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,132.0,839000.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,276.0,1280000.0,1.0,1.0,1.5,1.0,4.0,1.0,1.9285714285714286,5.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,20.0,112000.0,1.0,1.0,1.0,2.0,3.0,1.0,1.8571428571428572,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,52.0,150000.0,1.0,1.0,1.0,2.0,7.0,1.0,1.7857142857142858,2.0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,102.0,720000.0,1.0,1.0,1.0,3.0,7.0,1.0,1.7142857142857144,3.0,0,0,0,0,1,0,1,1,0,1,0,0
2.0,105.0,649500.0,1.0,1.0,1.0,7.0,7.0,1.0,1.6428571428571428,3.0,0,1,0,0,1,0,1,0,0,0,0,0
3.0,111.0,630000.0,1.0,1.0,1.0,5.5,6.0,1.0,1.5714285714285714,5.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,70.0,460000.0,1.0,1.0,1.0,4.0,5.0,1.0,1.5,3.0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,108.0,560000.0,1.0,1.0,2.0,5.0,7.0,1.0,1.4285714285714286,4.0,0,0,0,0,1,0,0,0,0,1,0,0
1.0,80.0,520000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3571428571428572,3.0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,84.0,345000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2857142857142858,3.0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,70.0,465000.0,1.0,1.0,1.0,3.0,7.0,1.0,1.2142857142857144,2.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,65.0,525000.0,1.0,1.0,1.0,4.0,4.0,1.0,1.1428571428571428,2.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,61.0,498000.0,1.0,1.0,1.0,3.0,8.333333333333332,1.0,1.0714285714285716,4.0,0,0,0,0,1,0,1,0,0,0,0,0
2.0,62.0,290000.0,1.0,1.0,1.0,6.0,12.666666666666666,1.0,1.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,60.0,524000.0,1.5,1.0,1.0,17.0,17.0,1.0,2.0,2.0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,133.0,980000.0,2.0,1.0,2.0,7.0,7.0,1.0,1.875,4.0,0,1,0,0,1,0,1,0,0,0,0,0
2.0,33.0,150000.0,1.0,1.0,1.0,8.0,12.0,1.0,1.75,1.0,0,0,0,0,1,0,1,0,1,0,0,1
2.0,68.0,570000.0,1.0,1.0,1.0,2.0,4.0,1.0,1.625,3.0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,64.0,448000.0,1.0,1.0,1.0,6.0,7.0,1.0,1.5,3.0,0,0,0,0,1,1,1,0,1,0,0,0
2.0,28.0,210000.0,1.0,1.0,1.0,1.0,12.0,1.0,1.375,1.0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,90.0,735000.0,1.0,1.0,1.0,2.0,6.0,1.0,1.25,3.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,144.0,1180000.0,1.0,1.0,1.0,2.0,6.0,1.0,1.125,6.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,110.0,735000.0,1.1666666666666667,1.0,1.0,5.0,6.0,1.0,1.0,4.0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,52.0,150000.0,1.3333333333333333,1.0,1.0,2.0,5.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,46.0,196000.0,1.5,1.0,1.0,2.0,4.0,1.0,1.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,49.0,320000.0,1.6666666666666665,1.0,1.0,4.0,12.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,0,0,1
