sl_style,sl_localisation,sl_nb_chambre,sl_taille,sl_prix,sl_paragraphe,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_annee,sl_etage,sl_hauteur,sl_ascenseur,sl_vue,sl_cave,sl_parking,sl_chemine,sl_exposition,sl_balcon,sl_terrasse,sl_gardien,sl_travaux,sl_neuf,sl_parquet,sl_cuisine,sl_vis_a_vis,sl_jardin,sl_piscine,sl_nb_piece
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,"99,54m²",698 000 €,"Lyon 6, Rue Ney/Crillon, dans un immeuble récent (1995) de très haut standing (Le Parc Crillon), venez découvrir cet appartement de 100 m² situé au 2ème étage.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 2ème étage,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,3m² Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,"87,5m²",670 000 €,"Superbe emplacement, au coeur du 6ème",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 1er étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine équipée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,1 chambre,"47,99m²",252 000 €,LYON 6ème - Cours Lafayette - limite Baraban/ Villeurbanne -,Non reference,1 Salle de bain,1 Toilette,Année de construction 2011,Au 3ème étage,Bâtiment de 5 étages,Ascenseur,Non reference,Non reference,1 Parking,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine américaine,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,90m²,620 000 €,"Coté Rive gauche proche de la Place Maréchal Lyautey situé au 4ème étage 90 m² lumineux. Composé d'un grand séjour + alcôve, 2 chambres et une grande cuisine côté cour bel ancien, volume à revaloriser beau projet à réaliser.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,4 pièces
Appartement,,30m²,5 700 € / m²,171 000 €,"RESEAU OUEST IMMO - Vous propose sur la commune de Tassin-La-Demi-Lune, proche du centre-ville, au calme absolu, transports en commun à 2 minutes à pied (TCL C24 et ligne 73), accès rapide sur Lyon. Un appartement de 30 m² neuf, cuisine ouverte sur séjour, coin nuit. Salle d'eau, douche à l'italienne. Chauffage électrique, double vitrage. Pour tous renseignements complémentaires, contactez RESEAU OUEST IMMO ou Hugo MARQUES avec la référence 37881327 CRAPONNE IMMOBILIER DEPUIS 1995 et CHAMPAGNE AU MONT D'OR IMMOBILIER DEVIENNENT OUEST IMMO CONSEILS OUVERT NON STOP DU LUNDI AU SAMEDI DE 9 A 19H.",Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,66m²,519 750 €,A vendre appartement T3 refait à neuf d'environ 66 m² rue Crillon Lyon à moins de 300 m du métro Foch.,1 Salle d'eau,Non reference,1 Toilette,Non reference,Non reference,Bâtiment de 5 étages,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Non reference,Non reference,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,"32,81m²",7 467 € / m²,245 000 €,"Dernier étage avec balcon de 2.10 m² joli T1 de 32.81 m² loi carrez, idéalement situé au calme avec vue dégagée proximité commerces, transports en commun et Parc de la Tête d'or. Idéal pied à terre de luxe, composé d'une pièce de près de 21 m², salle de bains avec toilette, cuisine séparée pouvant s'ouvrir sur la pièce de vie. 1 cave complète l'appartement.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 5ème étage,Bâtiment de 5 étages,Non reference,Vue,Non reference,Non reference,Non reference,Orientation Est,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,1 pièce
Appartement,,1 chambre,"45,88m²",196 000 €,"69100 VILLEURBANNE – CHARPENNES – PROCHE LYON 6e, Plume vous présente une fantastique OPPORTUNITÉ ! Cet appartement à très beau potentiel de 45m² Carrez est situé au 1er étage (équivalent 2ème) sur 4 d'un immeuble ancien de caractère sans ascenseur et aux faibles charges. D'une belle hauteur sous plafond, Il se compose actuellement de 2 grandes pièces et d'une salle de bain avec WC. Vendu avec une cave.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1911,Au 1er étage,Bâtiment de 4 étages,Non reference,Non reference,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,79m²,545 000 €,"COUP DE COEUR. A proximité du parc de la Tête D'or. Bel appartement, lumineux, situé au 6ème étage d'un immeuble de style avec ascenseur. Ce bien comprend un hall d'entrée, une cuisine équipée, deux chambres, une salle de bains, une salle à manger ouvrant sur un balcon. Une cave et un grenier complètent ce lot. Immeuble sur terrain HCL. Les diagnostics sont en cours de réalisation. La copropriété compte 18 lots principaux. Aucune procédure n'est en cours. La Taxe Foncière s'élève à 902€ et les charges annuelles à 2775€ (eau froide, eau chaude et chauffage par répartiteurs compris). RCS 380 144 931 000 33 - CPI 6901 2016 000 010 349.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1945,Au 6ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,2 Balcons,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,4 chambres,132m²,711 000 €,"LYON 6ème- QUARTIER PART DIEU - Gaelle Roborel vous présente cet appartement familial de 132 m² situé au 2ème étage sur 6 d'un immeuble très bien entretenu, avec ascenseur. Ce bien comprend un beau séjour de 40 m² donnant sur un balcon de 9 m² ouest ainsi que 4 chambres idéal pour une famille.",2 Salles d'eau,1 Salle de bain,2 Toilettes,Non reference,Au 2ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,12m² Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,3 chambres,77m²,410 000 €,EXCLUSIVITÉ HAPI - LYON 6 - COURS LAFAYETTE - PROXIMITÉ PART DIEU - Gaelle Roborel vous présente cette appartement plateau de 77 m².,1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1920,Au 1er étage,Bâtiment de 4 étages,Non reference,Non reference,Non reference,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,4 pièces
Non reference,Quartier Les Brotteaux-Bellecombe-Masséna,Non reference,Non reference,Non reference,"EXCLUSIVITÉ – 31 RUE BARRIER – LYON 6 Appartement 2 pièces de 55m² habitables (possibilité 3 pièces), il se situe au 3ème étage d'une résidence de 1959 avec ascenseur. Il se compose d'une belle pièce de vie de 24m², d'une cuisine indépendante équipée et aménagée, d'une chambre qui dessert un petit extérieur, d'une salle d'eau et d'un WC indépendant. L'appartement bénéficie d'une exposition Sud / Est. Une cave complète ce bien.",Non reference,Non reference,Non reference,Non reference,Au 3ème étage,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée équipée,Non reference,Non reference,Non reference,Non reference
Appartement,,2 chambres,62m²,319 000 €,"EXCLUSIVITÉ AGENCE DES PENTES A vendre secteur Place Quinet/Halles Paul Bocuse, bel appartement entièrement refait à neuf et extrêmement lumineux de type 3. D'une surface carrez de 62 m² et situé au premier étage, cet appartement est vendu entièrement meublé. Il comprend:",1 Salle d'eau,Non reference,2 Toilettes,Non reference,Au 1er étage,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine,Non reference,Non reference,Non reference,3 pièces
Appartement,,1 chambre,39m²,241 000 €,INVESTISSEUR - PREMIER ACHAT ou AMOUREUX DU SECTEUR,1 Salle d'eau,Non reference,1 Toilette,Année de construction 1965,Non reference,Bâtiment de 10 étages,Ascenseur,Vue,Non reference,1 Parking,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine américaine équipée,Non reference,Non reference,Non reference,2 pièces
Appartement,,1 chambre,36m²,227 000 €,INVESTISSEUR - PREMIER ACHAT ou AMOUREUX DU SECTEUR,1 Salle d'eau,Non reference,1 Toilette,Année de construction 1965,Non reference,Bâtiment de 10 étages,Ascenseur,Vue,Non reference,1 Parking,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine américaine équipée,Non reference,Non reference,Non reference,2 pièces
Appartement,,4 chambres,"164,08m²",995 000 €,"Idéalement situé entre parc de la Tête d'Or et métro Foch, dans une petite copropriété de bon standing (immeuble avec gardien) découvrez cet appartement lumineux et traversant 6 pièces de 165m² en excellent état comprenant: 4 chambres et un bureau, une grande cuisine aménagée et équipée, un double séjour au calme orienté sud avec sol parquet chêne, une salle d'eau à l'italienne et une salle de bains. Cet appartement est très bien entretenu et ne nécessite aucun travaux. Un garage fermé en sous-sol et deux caves complètent ce bien. Copropriété de 100 lots (Pas de procédure en cours). Charges annuelles: 5230.00 euros.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1975,Au 2ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,6 pièces
Appartement,,4 chambres,153m²,1 198 000 €,"EXCEPTIONNEL, le spacieux jardin de cet appartement donne véritablement l'impression d'être dans une maison à la campagne, tout en étant situé au coeur de Lyon 6, proche du métro et des commerces. L'entrée de cet appartement de 153 m² (163 m² au sol) dessert une vaste pièce de vie, très lumineuse et ouverte sur le beau jardin arboré et paysagé de 83 m². Nous avons aussi 4 chambres et un bureau. Les embrasures en pierre de taille procurent beaucoup de charme aux pièces. Une grande cave complète ce bien rare. Réelle sensation de quiétude et de vacances, cela fait du bien !",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1890,Non reference,Non reference,Non reference,Non reference,15m² Cave,Non reference,Non reference,Non reference,Non reference,1 Terrasse,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,7 pièces
Appartement,,3 chambres,134m²,920 000 €,"En étage élevé et baigné de soleil, cet appartement de 134,28 m² loi Carrez, bénéficie d'un magnifique séjour d'angle avec vue lointaine, exposé plein ouest. La double réception profite d'un beau volume de 50 m², et de 6 grandes fenêtres, cuisine dînatoire bien proportionnée, 3 chambres dont une suite principale de 20 m² + salle de douche. Nombreux placards. Les parquets chêne en point de Hongrie sont sous la moquette qui n'est pas collée. Des travaux de rénovation sont à prévoir.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Au 3ème étage,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,5 pièces
Appartement,,2 chambres,59m²,288 750 €,"Fiche Id-SLG115556: Lyon 6ème, TB situé, Rue Tête d'Or, proche commerces, métro Massena. Atypique et charmant appartement T3 en rez-de-chaussée - Duplex. Il se compose d'une vaste pièce traversante avec beaucoup de cachet, poutres. Cuisine ouverte. A l'étage, 2 chambres, salle de bains avec WC. Hauteur sous poutres: 2 m. Prévoir Travaux, A découvrir ! - Mentions légales: Proposé à la vente à 288750 Euros (Dont 5% TTC d'honoraires à la charge de l'acquéreur, soit un prix hors honoraires de 275000 Euros) - Bien en copropriété comprenant 20 lots et 20 copropriétaires - Charges annuelles: 576 Euros/an (soit 48 Euros/mois) - Affaire suivie par Mr Charly CANARD - Reseau Immo-Diffusion Lyon - Pour plus d'informations, contactez notre secrétariat (Appel gratuit ou prix d'une communication locale).",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Non reference,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,3 pièces
Appartement,,1 chambre,77m²,580 000 €,"EN EXCLUSIVITÉ - Emplacement recherché à Lyon 6ème proche métro Foch pour ce bel appartement de standing situé en étage élevé d'un immeuble sur son terrain. Très bel appartement rénové exposé sud (et nord pour la chambre). L'agréable entrée dessert en étoile 3 pièces: une double réception très lumineuse avec ses grandes fenêtres et sa porte-fenêtre qui ouvre sur un charmant petit balcon côté sud, La cuisine aménagée et équipée dispose d'un bar, Une chambre côté cour avec placard-dressing, Grande salle de douche à l'italienne avec espace buanderie, toilettes indépendants. Nombreux placards, double vitrage, climatisation. Une cave et un grenier complétent ce bien. Nombre de lots de copropriété principaux: 16. Dernier état des charges de copropriété concernant ce bien: 3284 EUR pour l'année, soit 274EUR par mois, incluant le chauffage, l'eau chaude et l'eau froide au compteur, l'ascenseur. Honoraires charge vendeur. Pour tous renseignements complémentaires et visites privées merci de contacter Anne de Planchard.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1953,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,5m² Cave,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,3 pièces
Maison / Villa,,6 chambres,230m²,495 000 €,"Fiche Id-SLG110836: lyon 6 - A 35 mn sud de LYON. Seule agence du Réseau Immo Diffusion a vous proposer bâtisse atypique 230 m² sur jardin 3800 m² composée de 2 niveaux + combles. En rez-de-chaussée grande pièce de vie env 60 m², un salon de 35 m², une cuisine 20 m², 2 autres pièces, à l'étage: espace repas env M2, boudoir, un 2e salon avec beau parquets et cheminée, 2 grandes chambres, et dans les combles 3 chambres. Ce bien de belle facture a son charme et son authenticité, sa rareté sera vous combler, terrain en partie constructible à 3 mn des commodités, nous prenons soin de vous masque + gants fournis - Mentions légales: Proposé à la vente à 495000 Euros (honoraires à la charge du vendeur) - Affaire suivie par Mme Annie Melnyczek - Reseau Immo-Diffusion Echalas - Pour plus d'informations, contactez notre secrétariat (Appel gratuit ou prix d'une communication locale).",Non reference,Non reference,Non reference,Année de construction 1850,Non reference,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,8 pièces
Appartement,,4 chambres,153m²,1 198 000 €,"EXCEPTIONNEL, le spacieux jardin de cet appartement donne véritablement l'impression d'être dans une maison à la campagne, tout en étant situé au coeur de Lyon 6, proche du métro et des commerces. L'entrée de cet appartement de 153 m² (163 m² au sol) dessert une vaste pièce de vie, très lumineuse et ouverte sur le beau jardin arboré et paysagé de 83 m². Nous avons aussi 4 chambres et un bureau. Les embrasures en pierre de taille procurent beaucoup de charme aux pièces. Une grande cave complète ce bien rare. Réelle sensation de quiétude et de vacances, cela fait du bien !",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1890,Non reference,Non reference,Non reference,Non reference,15m² Cave,Non reference,Non reference,Non reference,Non reference,1 Terrasse,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,7 pièces
Appartement,,3 chambres,188m²,1 250 000 €,"En exclusivité, NOVEA Immobilier Lyon 6 a le très grand plaisir de vous présenter ce magnifique appartement haussmannien de 188 m², situé au 2ème étage sur 5 avec ascenseur d'un bel immeuble bourgeois à côté d'Église Saint Pothin.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au 2ème étage,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Nord-Est,1 Balcon,Non reference,Non reference,Non reference,Refait à neuf,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,5 pièces
Appartement,,2 chambres,"81,08m²",489 000 €,"T3,81 m² + balcon, cave, parking extérieur à vendre RUE CREQUI à LYON 06 (Métro FOCH - ligne A)",1 Salle d'eau,Non reference,1 Toilette,Non reference,Au 2ème étage,Non reference,Ascenseur,Non reference,Cave,1 Parking,Non reference,Non reference,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,,3 chambres,134m²,920 000 €,"En étage élevé et baigné de soleil, cet appartement de 134,28 m² loi Carrez, bénéficie d'un magnifique séjour d'angle avec vue lointaine, exposé plein ouest. La double réception profite d'un beau volume de 50 m², et de 6 grandes fenêtres, cuisine dînatoire bien proportionnée, 3 chambres dont une suite principale de 20 m² + salle de douche.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1900,Au 3ème étage,Bâtiment de 5 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,5 pièces
Appartement,,1 chambre,"76,74m²",580 000 €,EN EXCLUSIVITÉ - Emplacement recherché à Lyon 6ème proche métro Foch pour ce bel appartement de standing situé en étage élevé d'un immeuble sur son terrain. Très bel appartement rénové exposé sud (et nord pour la chambre).,Non reference,,,Année de construction 1940,Au 4ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,,"8,75m²",9 143 € / m²,80 000 €,"DU FAIT D'UNE SUPERFICIE INFERIEURE A 9 M², CETTE ANNONCE N'EST PAS DESTINÉE AUX INVESTISSEUR LOCATIFS MAIS AUX PERSONNES RECHERCHANT UN PIED A TERRE OU UN PETIT BUREAU A VENDRE BOULEVARD DES BROTTEAUX DANS COPROPRIÉTÉ DE STANDING, une magnifique studette entièrement rénovée en dernier étage avec ascenseur, lumineuse et bénéficiant d'un calme absolu, surface de 8,75 m² environ, comprenant une pièce de vie avec lit en mezzanine, kitchenette, douche, espaces de rangement optimisés. WC séparés Faibles charges Le prix de vente comprend les honoraires à la charge du vendeur. Nombre de lots dans la copropriété: 20.",1 Salle d'eau,Non reference,1 Toilette,Non reference,Au 5ème étage,Non reference,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine coin cuisine,Non reference,Non reference,Non reference,1 pièce
Appartement,,4 chambres,150m²,840 000 €,"Fiche Id-SLG111947: LYON 6 FOCH Exclusivité de standing à seulement 500 m du parc tête d'Or ! Bel ancien avec cachet au coeur d'un parc arboré de 2.500 m² unique en ville et directement accessible. Volumes (3,55m hauteur sous plafond), parquets chevrons, cheminées, boiseries, les photos parlent d'elles-mêmes, je vous laisse apprécier l authenticité et la rareté de ce 150m² en rez-de-chaussée surélevé, traversant et sans vis-à-vis ! Annexes: local vélos et cave de 13m². Stationnement résident facile et à seulement 20 euros/mois. A bientôt pour une visite. - Mentions légales: Proposé à la vente à 840000 Euros (honoraires à la charge du vendeur) - Performance Énergie C: 127 kWh.M2.an - Bien en copropriété comprenant 37 lots - Charges annuelles: 1620 Euros/an (soit 135 Euros/mois) - Affaire suivie par Mr Sébastien COCHE - Reseau Immo-Diffusion Saint Laurent De Mure - Pour plus d'informations, contactez notre secrétariat (Appel gratuit ou prix d'une communication locale).",Non reference,Non reference,Non reference,Année de construction 1890,Non reference,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,5 pièces
Appartement,,3 chambres,134m²,920 000 €,"Spécialiste du secteur, NOVEA Immobilier Lyon 6 a le plaisir de vous présenter ce bel appartement ancien de134,28 m², situé au pied du Métro Massena au 3/4 étage avec ascenseur.",1 Salle d'eau,1 Salle de bain,1 Toilette,Non reference,Au 3ème étage,Bâtiment de 4 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Nord-Ouest,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,5 pièces
Appartement,,2 chambres,78m²,439 000 €,À VISITER RAPIDEMENT.,Non reference,1 Salle de bain,1 Toilette,Année de construction 1970,Non reference,Non reference,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Ouest,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,4 pièces
Appartement,,3 chambres,92m²,540 000 €,Une visite s'impose !,1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1973,Non reference,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,4 pièces
Appartement,,2 chambres,65m²,349 500 €,"Fiche Id-SLG117215: Secteur Charpennes, à 250 m de la place Charles Hernu (métro A et B), et à 200 m de lyon 6e, venez découvrir ce superbe appartement en étage, traversant, dans un environnement calme et baigné de lumière. Appartement bénéficiant d'une rénovation de qualité fidèle au charme de l'ancien; cuisine équipée Schmidt. Pas de travaux à prévoir. Faibles charges. Une cave complète ce lot. Local poussette /vélo. - Mentions légales: Proposé à la vente à 349500 Euros (Dont 3.71% TTC d'honoraires à la charge de l'acquéreur, soit un prix hors honoraires de 337000 Euros) - Performance Énergie D: 167 kWh.M2.an - Bien en copropriété - Charges annuelles: 800 Euros/an (soit 67 Euros/mois) - Affaire suivie par Mr Anthony Rey-Gaurez - Reseau Immo-Diffusion Lyon - Pour plus d'informations, contactez notre secrétariat (Appel gratuit ou prix d'une communication locale).",Non reference,Non reference,Non reference,Année de construction 1900,Non reference,Non reference,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,,4 chambres,164m²,950 000 €,"Bel appartement (seul sur le palier) de 164 m² au 2ème étage orienté Sud/Nord, entrée en marbre (avec dressing) qui dessert un salon de 38 m² au Sud en parquet chêne massif, 4 chambres (parquet chêne et moquette) dont une suite parentale à aménager de 24,8 m² + dressing 5,43 m². Une cuisine séparée de 12,75 m² (à rénover) orientée Nord. Une salle de bain et douche de 8,57 rénovée superbement il y a 2 ans, une salle de douche et WC de 2,15 m² (également rénovée il y a 2 ans), un WC séparé, nombreux placards; une cave complète ce bien ainsi qu'un garage (box fermé en sus prix).",Non reference,Non reference,Non reference,Non reference,Au 2ème étage,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Gardien,Non reference,Non reference,,,Non reference,Non reference,Non reference,5 pièces
Appartement,,1 chambre,53m²,240 000 €,Grand T2 de 53 m² dans le 6ème arrondissement.,Non reference,,,Non reference,Au 1er étage,Bâtiment de 2 étages,Non reference,Non reference,Cave,Non reference,Non reference,,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,2 pièces
Appartement,,2 chambres,"76,53m²",390 000 €,"A proximité de l'église Saint-Pothin, dans une résidence de standing sécurisée, avec gardien et entretenue, nous vous proposons un appartement configuré en T3 d'une superficie de 76.50 m² Carrez. Situé en rez-de-chaussée surélevé il a vue sur les spacieux jardins de la copropriété. Il se compose d'un séjour avec salle à manger, une cuisine indépendante, 2 chambres, une salle de bain, une grande penderie. Cet appartement est très lumineux car traversant EST-OUEST et très calme. Terrain HCL. Contactez Marie-Laure C Copropriété de 116 lots.",Non reference,,,Année de construction 1984,Non reference,Bâtiment de 12 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,,Non reference,Non reference,Non reference,3 pièces
Appartement,,3 chambres,132m²,985 000 €,Votre profil:,Non reference,,,Non reference,Au 3ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Non reference,,Non reference,Non reference,Non reference,4 pièces
Appartement,,2 chambres,62m²,290 000 €,"Dans la résidence pour SENIORS de standing du 6ème arrondissement ""LES EUMENIDES"", sécurisée avec personnel disponible 7 jours sur 7, venez découvrir ce bel et unique appartement avec sa grande terrasse arborée de 38 M² et sa vue exceptionnelle sur ""FOURVIERE"".",,Non reference,,Non reference,Au 6ème étage,Bâtiment de 8 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Sud-Ouest,1 Balcon,1 Terrasse,Gardien,Non reference,Non reference,Non reference,,Non reference,Non reference,Non reference,3 pièces
Appartement,,2 chambres,66m²,445 000 €,"Situation idéale à deux pas du parc pour cet appartement T3,66 m², dernier étage, ascenseur au palier, traversant, séjour parquet chevrons sur terrasse 12 m² plein Ouest, cuisine indépendante, US possible, deux chambres dont une sur balcon, salle de bain, calme et lumineux, parking en option",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 7ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Est,16m² Balcon,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,,3 chambres,132m²,940 000 €,Votre profil:,Non reference,,,Non reference,Au 3ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,,Non reference,Non reference,Non reference,Non reference,Refait à neuf,Non reference,,Non reference,Non reference,Non reference,4 pièces
Appartement,,2 chambres,74m²,444 000 €,"METROPOLE Immobilier vous propose ce beau T3, dans le quartier de Bellecombe dans le 6ème arrondissement de Lyon. Cet appartement de charme a un fort potentiel pour le rénover à votre goût. Situé au 3ème étage, il se compose d'un séjour, d'une cuisine fermée, d'une salle de bain avec WC séparé et de 2 chambres.",Non reference,,,Non reference,Au 3ème étage,Bâtiment de 4 étages,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,3 pièces
Appartement,,2 chambres,62m²,290 000 €,"Dans la résidence pour SENIORS de standing du 6ème arrondissement ""LES EUMENIDES"", sécurisée avec personnel disponible 7 jours sur 7, venez découvrir ce bel et unique appartement avec sa grande terrasse arborée de 38 M² et sa vue exceptionnelle sur ""FOURVIERE"".",1 Salle d'eau,Non reference,1 Toilette,Non reference,Au 6ème étage,Bâtiment de 8 étages,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Sud-Ouest,1 Balcon,1 Terrasse,Gardien,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,3 pièces
